note_id,start_index,end_index,text
synthetic-2,0,15,chief_complaint
synthetic-2,17,22,<abnormal_finding> Fever
synthetic-2,27,46,<abnormal_finding> shortness of breath
synthetic-2,59,85,history_of_present_illness
synthetic-2,130,147,<health_context> history of asthma
synthetic-2,152,170,<health_context> seasonal allergies
synthetic-2,209,214,<abnormal_finding> fever
synthetic-2,234,268,<abnormal_finding> productive cough with green sputum
synthetic-2,274,285,<abnormal_finding> progressive
synthetic-2,286,305,<abnormal_finding> shortness of breath
synthetic-2,453,473,physical_exam
synthetic-2,484,509,<abnormal_finding> Mild respiratory distress
synthetic-2,511,530,<abnormal_finding> fatigued appearance
synthetic-2,663,722,<abnormal_finding> Diffuse wheezing and crackles in the right lower lung field
synthetic-2,1186,1225,<abnormal_finding> : Positive for Streptococcus pneumoniae
synthetic-2,1227,1234,imaging
synthetic-2,1236,1247,<procedure> Chest X-ray
synthetic-2,1262,1292,<abnormal_finding> Right lower lobe consolidation
synthetic-2,1309,1318,<disorder> pneumonia
synthetic-2,1320,1341,hospital_course
synthetic-2,1372,1400,<disorder> community-acquired pneumonia
synthetic-2,1405,1419,<abnormal_finding> mild hypoxemia
synthetic-2,1440,1463,<medication> intravenous ceftriaxone
synthetic-2,1468,1485,<medication> oral azithromycin
synthetic-2,1578,1615,<medication> Bronchodilator therapy with albuterol
synthetic-2,1636,1655,<disorder> asthma exacerbation
synthetic-2,1801,1817,<medication> oral antibiotics
synthetic-2,2022,2041,diagnoses
synthetic-2,2043,2097,<disorder> Community-acquired pneumonia (Streptococcus pneumoniae
synthetic-2,2100,2125,<disorder> Acute asthma exacerbation
synthetic-2,2127,2144,<disorder> Allergic rhinitis
synthetic-1,0,15,chief_complaint
synthetic-1,17,38,<abnormal_finding> Severe abdominal pain
synthetic-1,43,49,<abnormal_finding> nausea
synthetic-1,51,77,history_of_present_illness
synthetic-1,120,143,<health_context> history of hypertension
synthetic-1,148,152,<health_context> GERD
synthetic-1,201,248,<abnormal_finding> epigastric abdominal pain radiating to the back
synthetic-1,266,272,<abnormal_finding> nausea
synthetic-1,277,287,<abnormal_finding> occasional
synthetic-1,288,296,<abnormal_finding> vomiting
synthetic-1,436,456,physical_exam
synthetic-1,477,506,<abnormal_finding> moderate distress due to pain
synthetic-1,639,674,<abnormal_finding> Tenderness in the epigastric region
synthetic-1,1216,1223,imaging
synthetic-1,1225,1242,<procedure> Abdominal CT Scan
synthetic-1,1269,1309,<disorder> Possible: acute pancreatitis without complications
synthetic-1,1352,1373,hospital_course
synthetic-1,1404,1455,"<disorder> acute pancreatitis, likely secondary to alcohol use"
synthetic-1,1477,1495,<medication> intravenous fluids
synthetic-1,1516,1529,<medication> acetaminophen
synthetic-1,1534,1551,<medication> low-dose morphine
synthetic-1,1557,1568,<medication> antiemetics
synthetic-1,1668,1692,<abnormal_finding> Laboratory abnormalities
synthetic-1,1704,1737,<abnormal_finding> elevated liver enzymes and lipase
synthetic-1,2048,2067,diagnoses
synthetic-1,2069,2120,"<disorder> Acute pancreatitis, likely secondary to alcohol use"
synthetic-1,2122,2134,<disorder> Hypertension
synthetic-1,2136,2169,<disorder> Gastroesophageal reflux disease (
synthetic-1,2169,2173,<disorder> GERD
synthetic-1,2402,2413,medications
synthetic-1,2415,2427,<medication> Pantoprazole
synthetic-1,2487,2511,<medication> antihypertensive regimen
synthetic-3,0,15,chief_complaint
synthetic-3,17,27,<abnormal_finding> Chest pain
synthetic-3,32,41,<abnormal_finding> dizziness
synthetic-3,42,68,history_of_present_illness
synthetic-3,111,136,<health_context> history of hyperlipidemia
synthetic-3,143,171,<health_context> 20-pack-year smoking history
synthetic-3,191,275,"<abnormal_finding> sudden-onset substernal chest pain, described as tight and radiating to the left arm"
synthetic-3,292,301,<abnormal_finding> dizziness
synthetic-3,306,317,<abnormal_finding> diaphoresis
synthetic-3,319,355,<health_context> Symptoms began while walking his dog
synthetic-3,544,564,physical_exam
synthetic-3,584,591,<abnormal_finding> anxious
synthetic-3,1151,1168,<procedure> Electrocardiogram
synthetic-3,1170,1173,<procedure> ECG
synthetic-3,1176,1216,<abnormal_finding> ST-segment depression in leads V5 and V6
synthetic-3,1234,1242,<abnormal_finding> ischemia
synthetic-3,1244,1251,imaging
synthetic-3,1253,1264,<procedure> Chest X-ray
synthetic-3,1321,1340,<procedure> Cardiac Stress Test
synthetic-3,1368,1407,<abnormal_finding> inducible ischemia in the inferior wall
synthetic-3,1409,1430,hospital_course
synthetic-3,1485,1513,<disorder> Possible: acute coronary syndrome (ACS
synthetic-3,1544,1551,<medication> aspirin
synthetic-3,1560,1572,<medication> atorvastatin
synthetic-3,1584,1608,<medication> sublingual nitroglycerin
synthetic-3,1994,2013,diagnoses
synthetic-3,2015,2065,<disorder> Non-ST Elevation Acute Coronary Syndrome (NSTE-ACS
synthetic-3,2068,2082,<disorder> Hyperlipidemia
synthetic-3,2084,2104,<disorder> Tobacco use disorder
